a barking dog
a barking sea lion
a barking seal
a bearded dragon
a bellowing walrus
a betta fish
a bounding hare
a bounding kangaroo
a budgerigar
a burrowing armadillo
a burrowing mole
a buzzing bee
a buzzing fly
a camouflaged chameleon
a canary
a cat
a chameleon
a chicken
a chirping canary
a chirping cricket
a chirping sparrow
a chittering squirrel
a clambering koala
a climbing chameleon
a climbing panda
a climbing sloth
a clownfish
a cockatiel
a colorful butterfly
a colorful toucan
a cow
a crawling beetle
a crawling lizard
a crawling snail
a crawling spider
a crawling tortoise
a creeping centipede
a creeping spider
a croaking bullfrog
a croaking tree frog
a crooning pigeon
a curious otter
a dancing flamingo
a darting dragonfly
a darting hummingbird
a discus fish
a diving cormorant
a diving kingfisher
a diving otter
a diving penguin
a dog
a drifting jellyfish
a drifting stingray
a duck
a ferret
a fierce tiger
a finch
a flapping bat
a flitting moth
a fluttering butterfly
a fluttering moth
a foraging badger
a frog
a galloping antelope
a galloping horse
a galloping stallion
a gecko
a gerbil
a gliding albatross
a gliding eagle
a gliding falcon
a glowing firefly
a goat
a goldfish
a goose
a graceful crane
a graceful swan
a grazing antelope
a grazing cow
a grazing zebra
a guinea pig
a guppy
a hamster
a hermit crab
a hooting owl
a hopping frog
a hopping hare
a hopping kangaroo
a hopping rabbit
a horse
a hovering hummingbird
a howling coyote
a howling wolf
a humming hummingbird
a jumping kangaroo
a leaping gazelle
a leaping lemur
a leaping lizard
a lizard
a lovebird
a lumbering bear
a lumbering hippo
a majestic elephant
a majestic elk
a majestic lion
a mouse
a murmuring dove
a newt
a nibbling chipmunk
a nibbling hamster
a nibbling rat
a parrot
a pecking woodpecker
a peeping chickadee
a playful dolphin
a playful kitten
a pouncing cheetah
a pouncing cougar
a pouncing lynx
a pouncing panther
a prancing gazelle
a prancing goat
a prancing horse
a prickly echidna
a prickly porcupine
a prowling bobcat
a prowling leopard
a prowling lion
a prowling lynx
a prowling tiger
a prowling wolf
a purring cat
a rabbit
a rat
a roaming bison
a roaming buffalo
a roaring cougar
a roaring lion
a rumbling buffalo
a rumbling rhinoceros
a running fox
a rustling hedgehog
a salamander
a scaly-skinned crocodile
a scorpion
a scratching chicken
a scratching hen
a screeching hawk
a scurrying chipmunk
a scurrying mouse
a scuttling beetle
a scuttling crab
a sheep
a shimmering seahorse
a shuffling anteater
a singing nightingale
a singing robin
a singing warbler
a skittering beetle
a skittering lizard
a sleek panther
a slinking cat
a slinking ferret
a slinking mink
a slinky mongoose
a slithering python
a slithering snake
a sly fox
a snake
a sneaking fox
a sneaky raccoon
a snorting pig
a soaring condor
a soaring eagle
a soaring falcon
a soaring hawk
a soaring osprey
a spiky hedgehog
a spiny sea urchin
a splashing seal
a sprinting cheetah
a squawking macaw
a squawking parrot
a squeaking mouse
a squeaky bat
a squealing piglet
a squirming worm
a stalking jaguar
a stalking tiger
a stealthy leopard
a stealthy wolf
a striding ostrich
a striped zebra
a strutting peacock
a strutting rooster
a swift cheetah
a swimming dolphin
a swimming fish
a swimming goldfish
a swimming jellyfish
